KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	RepetitionTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3	FilePath
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-10129/ses-20180917/anat/sub-10129_ses-20180917_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11758/ses-20190422/anat/sub-11758_ses-20190422_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11763/ses-20190506/anat/sub-11763_ses-20190506_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11761/ses-20190415/anat/sub-11761_ses-20190415_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11760/ses-20220804/anat/sub-11760_ses-20220804_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11760/ses-20210423/anat/sub-11760_ses-20210423_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11760/ses-20190311/anat/sub-11760_ses-20190311_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11759/ses-20190823/anat/sub-11759_ses-20190823_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11757/ses-20200918/anat/sub-11757_ses-20200918_acq-UNIDENT1_T1w.nii.gz
acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0	/sub-11782/ses-20190930/anat/sub-11782_ses-20190930_acq-UNIDENT1_T1w.nii.gz
